,MMSI,start_time,end_time,VESSEL TYPE,ud_group,len_of_recording,instance_id,min_SOG,max_SOG,mean_SOG,length(in m),min_distance(in kms),max_distance(in kms),mean_distance(in kms),min_COG,max_COG,mean_COG,min_heading,max_heading,mean_heading,SHIPNAME,spectrogram,audio,mseed,psd,psd_pickle
0,211331640,2020-01-24 11:12:59,2020-01-24 11:22:59,"Cargo, all ships of this type",Cargo,10.0,OS_20200124111259_20200124112259,16.0,16.2,16.114285714285717,294.0,2.97,4.76,3.69,181.2,183.0,182.08571428571426,181.0,183.0,182.0,SEOUL EXPRESS,https://uwnetid-my.sharepoint.com/:f:/r/personal/abadi_uw_edu/Documents/Ocean%20Data%20Lab%20SharePoint/OOI/Ship%20Noise%20Data%20Set/Data with avg_time=10/Benchmark_Data//Ships/Oregon_Slope/Spectrograms/OS_20200124111259_20200124112259.png,https://uwnetid-my.sharepoint.com/:f:/r/personal/abadi_uw_edu/Documents/Ocean%20Data%20Lab%20SharePoint/OOI/Ship%20Noise%20Data%20Set/Data with avg_time=10/Benchmark_Data//Ships/Oregon_Slope/Audio/OS_20200124111259_20200124112259.wav,https://uwnetid-my.sharepoint.com/:f:/r/personal/abadi_uw_edu/Documents/Ocean%20Data%20Lab%20SharePoint/OOI/Ship%20Noise%20Data%20Set/Data with avg_time=10/Benchmark_Data//Ships/Oregon_Slope/Mseed/OS_20200124111259_20200124112259.mseed,https://uwnetid-my.sharepoint.com/:f:/r/personal/abadi_uw_edu/Documents/Ocean%20Data%20Lab%20SharePoint/OOI/Ship%20Noise%20Data%20Set/Data with avg_time=10/Benchmark_Data//Ships/Oregon_Slope/PSDs/OS_20200124111259_20200124112259.png,https://uwnetid-my.sharepoint.com/:f:/r/personal/abadi_uw_edu/Documents/Ocean%20Data%20Lab%20SharePoint/OOI/Ship%20Noise%20Data%20Set/Data with avg_time=10/Benchmark_Data//Ships/Oregon_Slope/PSD_pickles/OS_20200124111259_20200124112259.pkl
1,235009240,2020-06-24 00:45:29,2020-06-24 00:55:29,"Cargo, all ships of this type",Cargo,10.0,OS_20200624004529_20200624005529,20.3,20.5,20.389999999999997,299.0,3.36,4.95,3.8980000000000006,357.0,358.0,357.3,0.0,0.0,0.0,EVER SHINE,https://uwnetid-my.sharepoint.com/:f:/r/personal/abadi_uw_edu/Documents/Ocean%20Data%20Lab%20SharePoint/OOI/Ship%20Noise%20Data%20Set/Data with avg_time=10/Benchmark_Data//Ships/Oregon_Slope/Spectrograms/OS_20200624004529_20200624005529.png,https://uwnetid-my.sharepoint.com/:f:/r/personal/abadi_uw_edu/Documents/Ocean%20Data%20Lab%20SharePoint/OOI/Ship%20Noise%20Data%20Set/Data with avg_time=10/Benchmark_Data//Ships/Oregon_Slope/Audio/OS_20200624004529_20200624005529.wav,https://uwnetid-my.sharepoint.com/:f:/r/personal/abadi_uw_edu/Documents/Ocean%20Data%20Lab%20SharePoint/OOI/Ship%20Noise%20Data%20Set/Data with avg_time=10/Benchmark_Data//Ships/Oregon_Slope/Mseed/OS_20200624004529_20200624005529.mseed,https://uwnetid-my.sharepoint.com/:f:/r/personal/abadi_uw_edu/Documents/Ocean%20Data%20Lab%20SharePoint/OOI/Ship%20Noise%20Data%20Set/Data with avg_time=10/Benchmark_Data//Ships/Oregon_Slope/PSDs/OS_20200624004529_20200624005529.png,https://uwnetid-my.sharepoint.com/:f:/r/personal/abadi_uw_edu/Documents/Ocean%20Data%20Lab%20SharePoint/OOI/Ship%20Noise%20Data%20Set/Data with avg_time=10/Benchmark_Data//Ships/Oregon_Slope/PSD_pickles/OS_20200624004529_20200624005529.pkl
2,235009240,2021-09-05 22:39:34,2021-09-05 22:49:34,"Cargo, all ships of this type",Cargo,10.0,OS_20210905223934_20210905224934,13.7,14.2,13.959999999999999,299.0,3.95,4.96,4.256,0.0,359.0,251.3,2.0,2.0,2.0,EVER SHINE,https://uwnetid-my.sharepoint.com/:f:/r/personal/abadi_uw_edu/Documents/Ocean%20Data%20Lab%20SharePoint/OOI/Ship%20Noise%20Data%20Set/Data with avg_time=10/Benchmark_Data//Ships/Oregon_Slope/Spectrograms/OS_20210905223934_20210905224934.png,https://uwnetid-my.sharepoint.com/:f:/r/personal/abadi_uw_edu/Documents/Ocean%20Data%20Lab%20SharePoint/OOI/Ship%20Noise%20Data%20Set/Data with avg_time=10/Benchmark_Data//Ships/Oregon_Slope/Audio/OS_20210905223934_20210905224934.wav,https://uwnetid-my.sharepoint.com/:f:/r/personal/abadi_uw_edu/Documents/Ocean%20Data%20Lab%20SharePoint/OOI/Ship%20Noise%20Data%20Set/Data with avg_time=10/Benchmark_Data//Ships/Oregon_Slope/Mseed/OS_20210905223934_20210905224934.mseed,https://uwnetid-my.sharepoint.com/:f:/r/personal/abadi_uw_edu/Documents/Ocean%20Data%20Lab%20SharePoint/OOI/Ship%20Noise%20Data%20Set/Data with avg_time=10/Benchmark_Data//Ships/Oregon_Slope/PSDs/OS_20210905223934_20210905224934.png,https://uwnetid-my.sharepoint.com/:f:/r/personal/abadi_uw_edu/Documents/Ocean%20Data%20Lab%20SharePoint/OOI/Ship%20Noise%20Data%20Set/Data with avg_time=10/Benchmark_Data//Ships/Oregon_Slope/PSD_pickles/OS_20210905223934_20210905224934.pkl
3,235010450,2017-04-11 14:56:01,2017-04-11 15:06:01,"Cargo, all ships of this type",Cargo,10.0,OS_20170411145601_20170411150601,15.5,15.7,15.614285714285714,299.99,0.63,4.46,2.067142857142857,0.0,1.0,0.42857142857142855,3.0,3.0,3.0,EVER SMART,https://uwnetid-my.sharepoint.com/:f:/r/personal/abadi_uw_edu/Documents/Ocean%20Data%20Lab%20SharePoint/OOI/Ship%20Noise%20Data%20Set/Data with avg_time=10/Benchmark_Data//Ships/Oregon_Slope/Spectrograms/OS_20170411145601_20170411150601.png,https://uwnetid-my.sharepoint.com/:f:/r/personal/abadi_uw_edu/Documents/Ocean%20Data%20Lab%20SharePoint/OOI/Ship%20Noise%20Data%20Set/Data with avg_time=10/Benchmark_Data//Ships/Oregon_Slope/Audio/OS_20170411145601_20170411150601.wav,https://uwnetid-my.sharepoint.com/:f:/r/personal/abadi_uw_edu/Documents/Ocean%20Data%20Lab%20SharePoint/OOI/Ship%20Noise%20Data%20Set/Data with avg_time=10/Benchmark_Data//Ships/Oregon_Slope/Mseed/OS_20170411145601_20170411150601.mseed,https://uwnetid-my.sharepoint.com/:f:/r/personal/abadi_uw_edu/Documents/Ocean%20Data%20Lab%20SharePoint/OOI/Ship%20Noise%20Data%20Set/Data with avg_time=10/Benchmark_Data//Ships/Oregon_Slope/PSDs/OS_20170411145601_20170411150601.png,https://uwnetid-my.sharepoint.com/:f:/r/personal/abadi_uw_edu/Documents/Ocean%20Data%20Lab%20SharePoint/OOI/Ship%20Noise%20Data%20Set/Data with avg_time=10/Benchmark_Data//Ships/Oregon_Slope/PSD_pickles/OS_20170411145601_20170411150601.pkl
4,235010450,2017-05-23 18:35:23,2017-05-23 18:45:23,"Cargo, all ships of this type",Cargo,10.0,OS_20170523183523_20170523184523,14.1,14.2,14.15,299.99,1.03,4.81,2.771,0.0,2.0,1.1,1.0,2.0,1.9,EVER SMART,https://uwnetid-my.sharepoint.com/:f:/r/personal/abadi_uw_edu/Documents/Ocean%20Data%20Lab%20SharePoint/OOI/Ship%20Noise%20Data%20Set/Data with avg_time=10/Benchmark_Data//Ships/Oregon_Slope/Spectrograms/OS_20170523183523_20170523184523.png,https://uwnetid-my.sharepoint.com/:f:/r/personal/abadi_uw_edu/Documents/Ocean%20Data%20Lab%20SharePoint/OOI/Ship%20Noise%20Data%20Set/Data with avg_time=10/Benchmark_Data//Ships/Oregon_Slope/Audio/OS_20170523183523_20170523184523.wav,https://uwnetid-my.sharepoint.com/:f:/r/personal/abadi_uw_edu/Documents/Ocean%20Data%20Lab%20SharePoint/OOI/Ship%20Noise%20Data%20Set/Data with avg_time=10/Benchmark_Data//Ships/Oregon_Slope/Mseed/OS_20170523183523_20170523184523.mseed,https://uwnetid-my.sharepoint.com/:f:/r/personal/abadi_uw_edu/Documents/Ocean%20Data%20Lab%20SharePoint/OOI/Ship%20Noise%20Data%20Set/Data with avg_time=10/Benchmark_Data//Ships/Oregon_Slope/PSDs/OS_20170523183523_20170523184523.png,https://uwnetid-my.sharepoint.com/:f:/r/personal/abadi_uw_edu/Documents/Ocean%20Data%20Lab%20SharePoint/OOI/Ship%20Noise%20Data%20Set/Data with avg_time=10/Benchmark_Data//Ships/Oregon_Slope/PSD_pickles/OS_20170523183523_20170523184523.pkl
5,235010450,2017-05-23 18:45:23,2017-05-23 18:55:23,"Cargo, all ships of this type",Cargo,10.0,OS_20170523184523_20170523185523,14.2,14.4,14.3,299.99,0.98,4.13,2.2399999999999998,0.0,359.0,71.9,0.0,1.0,0.2,EVER SMART,https://uwnetid-my.sharepoint.com/:f:/r/personal/abadi_uw_edu/Documents/Ocean%20Data%20Lab%20SharePoint/OOI/Ship%20Noise%20Data%20Set/Data with avg_time=10/Benchmark_Data//Ships/Oregon_Slope/Spectrograms/OS_20170523184523_20170523185523.png,https://uwnetid-my.sharepoint.com/:f:/r/personal/abadi_uw_edu/Documents/Ocean%20Data%20Lab%20SharePoint/OOI/Ship%20Noise%20Data%20Set/Data with avg_time=10/Benchmark_Data//Ships/Oregon_Slope/Audio/OS_20170523184523_20170523185523.wav,https://uwnetid-my.sharepoint.com/:f:/r/personal/abadi_uw_edu/Documents/Ocean%20Data%20Lab%20SharePoint/OOI/Ship%20Noise%20Data%20Set/Data with avg_time=10/Benchmark_Data//Ships/Oregon_Slope/Mseed/OS_20170523184523_20170523185523.mseed,https://uwnetid-my.sharepoint.com/:f:/r/personal/abadi_uw_edu/Documents/Ocean%20Data%20Lab%20SharePoint/OOI/Ship%20Noise%20Data%20Set/Data with avg_time=10/Benchmark_Data//Ships/Oregon_Slope/PSDs/OS_20170523184523_20170523185523.png,https://uwnetid-my.sharepoint.com/:f:/r/personal/abadi_uw_edu/Documents/Ocean%20Data%20Lab%20SharePoint/OOI/Ship%20Noise%20Data%20Set/Data with avg_time=10/Benchmark_Data//Ships/Oregon_Slope/PSD_pickles/OS_20170523184523_20170523185523.pkl
6,235010450,2017-07-05 06:34:01,2017-07-05 06:44:01,"Cargo, all ships of this type",Cargo,10.0,OS_20170705063401_20170705064401,17.3,17.5,17.45,299.99,0.81,4.57,2.2800000000000002,2.0,3.0,2.1,3.0,3.0,3.0,EVER SMART,https://uwnetid-my.sharepoint.com/:f:/r/personal/abadi_uw_edu/Documents/Ocean%20Data%20Lab%20SharePoint/OOI/Ship%20Noise%20Data%20Set/Data with avg_time=10/Benchmark_Data//Ships/Oregon_Slope/Spectrograms/OS_20170705063401_20170705064401.png,https://uwnetid-my.sharepoint.com/:f:/r/personal/abadi_uw_edu/Documents/Ocean%20Data%20Lab%20SharePoint/OOI/Ship%20Noise%20Data%20Set/Data with avg_time=10/Benchmark_Data//Ships/Oregon_Slope/Audio/OS_20170705063401_20170705064401.wav,https://uwnetid-my.sharepoint.com/:f:/r/personal/abadi_uw_edu/Documents/Ocean%20Data%20Lab%20SharePoint/OOI/Ship%20Noise%20Data%20Set/Data with avg_time=10/Benchmark_Data//Ships/Oregon_Slope/Mseed/OS_20170705063401_20170705064401.mseed,https://uwnetid-my.sharepoint.com/:f:/r/personal/abadi_uw_edu/Documents/Ocean%20Data%20Lab%20SharePoint/OOI/Ship%20Noise%20Data%20Set/Data with avg_time=10/Benchmark_Data//Ships/Oregon_Slope/PSDs/OS_20170705063401_20170705064401.png,https://uwnetid-my.sharepoint.com/:f:/r/personal/abadi_uw_edu/Documents/Ocean%20Data%20Lab%20SharePoint/OOI/Ship%20Noise%20Data%20Set/Data with avg_time=10/Benchmark_Data//Ships/Oregon_Slope/PSD_pickles/OS_20170705063401_20170705064401.pkl
7,235010450,2017-08-15 23:43:53,2017-08-15 23:53:53,"Cargo, all ships of this type",Cargo,10.0,OS_20170815234353_20170815235353,19.9,19.9,19.9,299.99,1.29,4.94,2.6814285714285715,0.0,2.0,0.8571428571428571,2.0,3.0,2.4285714285714284,EVER SMART,https://uwnetid-my.sharepoint.com/:f:/r/personal/abadi_uw_edu/Documents/Ocean%20Data%20Lab%20SharePoint/OOI/Ship%20Noise%20Data%20Set/Data with avg_time=10/Benchmark_Data//Ships/Oregon_Slope/Spectrograms/OS_20170815234353_20170815235353.png,https://uwnetid-my.sharepoint.com/:f:/r/personal/abadi_uw_edu/Documents/Ocean%20Data%20Lab%20SharePoint/OOI/Ship%20Noise%20Data%20Set/Data with avg_time=10/Benchmark_Data//Ships/Oregon_Slope/Audio/OS_20170815234353_20170815235353.wav,https://uwnetid-my.sharepoint.com/:f:/r/personal/abadi_uw_edu/Documents/Ocean%20Data%20Lab%20SharePoint/OOI/Ship%20Noise%20Data%20Set/Data with avg_time=10/Benchmark_Data//Ships/Oregon_Slope/Mseed/OS_20170815234353_20170815235353.mseed,https://uwnetid-my.sharepoint.com/:f:/r/personal/abadi_uw_edu/Documents/Ocean%20Data%20Lab%20SharePoint/OOI/Ship%20Noise%20Data%20Set/Data with avg_time=10/Benchmark_Data//Ships/Oregon_Slope/PSDs/OS_20170815234353_20170815235353.png,https://uwnetid-my.sharepoint.com/:f:/r/personal/abadi_uw_edu/Documents/Ocean%20Data%20Lab%20SharePoint/OOI/Ship%20Noise%20Data%20Set/Data with avg_time=10/Benchmark_Data//Ships/Oregon_Slope/PSD_pickles/OS_20170815234353_20170815235353.pkl
8,235010450,2017-09-26 18:01:22,2017-09-26 18:11:22,"Cargo, all ships of this type",Cargo,10.0,OS_20170926180122_20170926181122,15.6,15.7,15.644444444444444,299.99,1.07,4.66,2.5833333333333335,0.0,1.0,0.1111111111111111,1.0,1.0,1.0,EVER SMART,https://uwnetid-my.sharepoint.com/:f:/r/personal/abadi_uw_edu/Documents/Ocean%20Data%20Lab%20SharePoint/OOI/Ship%20Noise%20Data%20Set/Data with avg_time=10/Benchmark_Data//Ships/Oregon_Slope/Spectrograms/OS_20170926180122_20170926181122.png,https://uwnetid-my.sharepoint.com/:f:/r/personal/abadi_uw_edu/Documents/Ocean%20Data%20Lab%20SharePoint/OOI/Ship%20Noise%20Data%20Set/Data with avg_time=10/Benchmark_Data//Ships/Oregon_Slope/Audio/OS_20170926180122_20170926181122.wav,https://uwnetid-my.sharepoint.com/:f:/r/personal/abadi_uw_edu/Documents/Ocean%20Data%20Lab%20SharePoint/OOI/Ship%20Noise%20Data%20Set/Data with avg_time=10/Benchmark_Data//Ships/Oregon_Slope/Mseed/OS_20170926180122_20170926181122.mseed,https://uwnetid-my.sharepoint.com/:f:/r/personal/abadi_uw_edu/Documents/Ocean%20Data%20Lab%20SharePoint/OOI/Ship%20Noise%20Data%20Set/Data with avg_time=10/Benchmark_Data//Ships/Oregon_Slope/PSDs/OS_20170926180122_20170926181122.png,https://uwnetid-my.sharepoint.com/:f:/r/personal/abadi_uw_edu/Documents/Ocean%20Data%20Lab%20SharePoint/OOI/Ship%20Noise%20Data%20Set/Data with avg_time=10/Benchmark_Data//Ships/Oregon_Slope/PSD_pickles/OS_20170926180122_20170926181122.pkl
9,235010450,2018-03-20 08:21:47,2018-03-20 08:31:47,"Cargo, all ships of this type",Cargo,10.0,OS_20180320082147_20180320083147,15.1,15.2,15.1625,299.0,1.17,4.45,2.48,0.0,359.0,45.0,1.0,2.0,1.75,EVER SMART,https://uwnetid-my.sharepoint.com/:f:/r/personal/abadi_uw_edu/Documents/Ocean%20Data%20Lab%20SharePoint/OOI/Ship%20Noise%20Data%20Set/Data with avg_time=10/Benchmark_Data//Ships/Oregon_Slope/Spectrograms/OS_20180320082147_20180320083147.png,https://uwnetid-my.sharepoint.com/:f:/r/personal/abadi_uw_edu/Documents/Ocean%20Data%20Lab%20SharePoint/OOI/Ship%20Noise%20Data%20Set/Data with avg_time=10/Benchmark_Data//Ships/Oregon_Slope/Audio/OS_20180320082147_20180320083147.wav,https://uwnetid-my.sharepoint.com/:f:/r/personal/abadi_uw_edu/Documents/Ocean%20Data%20Lab%20SharePoint/OOI/Ship%20Noise%20Data%20Set/Data with avg_time=10/Benchmark_Data//Ships/Oregon_Slope/Mseed/OS_20180320082147_20180320083147.mseed,https://uwnetid-my.sharepoint.com/:f:/r/personal/abadi_uw_edu/Documents/Ocean%20Data%20Lab%20SharePoint/OOI/Ship%20Noise%20Data%20Set/Data with avg_time=10/Benchmark_Data//Ships/Oregon_Slope/PSDs/OS_20180320082147_20180320083147.png,https://uwnetid-my.sharepoint.com/:f:/r/personal/abadi_uw_edu/Documents/Ocean%20Data%20Lab%20SharePoint/OOI/Ship%20Noise%20Data%20Set/Data with avg_time=10/Benchmark_Data//Ships/Oregon_Slope/PSD_pickles/OS_20180320082147_20180320083147.pkl
