,MMSI,start_time,end_time,VESSEL TYPE,ud_group,len_of_recording,instance_id,min_SOG,max_SOG,mean_SOG,length(in m),min_distance(in kms),max_distance(in kms),mean_distance(in kms),min_COG,max_COG,mean_COG,min_heading,max_heading,mean_heading,SHIPNAME,spectrogram,audio,mseed,psd,psd_pickle
0,205784000,2020-09-08 11:52:25,2020-09-08 12:02:25,"Cargo, Hazardous category D",Cargo,10.0,SH_20200908115225_20200908120225,11.9,12.1,12.016666666666666,262.0,4.39,4.84,4.515,356.7,358.1,357.3666666666666,0.0,1.0,0.16666666666666666,HOBBY HUNTER,,,,,
1,210234000,2018-06-12 16:12:57,2018-06-12 16:22:57,"Cargo, all ships of this type",Cargo,10.0,SH_20180612161257_20180612162257,12.1,12.2,12.1625,171.0,2.97,4.92,3.845,176.6,179.7,177.85,179.0,181.0,180.0,UBC SANTA MARTA,https://uwnetid-my.sharepoint.com/:f:/r/personal/abadi_uw_edu/Documents/Ocean%20Data%20Lab%20SharePoint/OOI/Ship%20Noise%20Data%20Set/Data with avg_time=10/Benchmark_Data//Ships/Southern_Hydrate/Spectrograms/SH_20180612161257_20180612162257.jpg,https://uwnetid-my.sharepoint.com/:f:/r/personal/abadi_uw_edu/Documents/Ocean%20Data%20Lab%20SharePoint/OOI/Ship%20Noise%20Data%20Set/Data with avg_time=10/Benchmark_Data//Ships/Southern_Hydrate/Audio/SH_20180612161257_20180612162257.wav,https://uwnetid-my.sharepoint.com/:f:/r/personal/abadi_uw_edu/Documents/Ocean%20Data%20Lab%20SharePoint/OOI/Ship%20Noise%20Data%20Set/Data with avg_time=10/Benchmark_Data//Ships/Southern_Hydrate/Mseed/SH_20180612161257_20180612162257.mseed,https://uwnetid-my.sharepoint.com/:f:/r/personal/abadi_uw_edu/Documents/Ocean%20Data%20Lab%20SharePoint/OOI/Ship%20Noise%20Data%20Set/Data with avg_time=10/Benchmark_Data//Ships/Southern_Hydrate/PSDs/SH_20180612161257_20180612162257.jpg,https://uwnetid-my.sharepoint.com/:f:/r/personal/abadi_uw_edu/Documents/Ocean%20Data%20Lab%20SharePoint/OOI/Ship%20Noise%20Data%20Set/Data with avg_time=10/Benchmark_Data//Ships/Southern_Hydrate/PSD_pickles/SH_20180612161257_20180612162257.pkl
2,210234000,2018-06-12 16:22:57,2018-06-12 16:32:57,"Cargo, all ships of this type",Cargo,10.0,SH_20180612162257_20180612163257,12.1,12.3,12.233333333333334,171.0,2.81,3.91,3.171666666666667,172.2,176.6,174.4,176.0,180.0,178.16666666666666,UBC SANTA MARTA,https://uwnetid-my.sharepoint.com/:f:/r/personal/abadi_uw_edu/Documents/Ocean%20Data%20Lab%20SharePoint/OOI/Ship%20Noise%20Data%20Set/Data with avg_time=10/Benchmark_Data//Ships/Southern_Hydrate/Spectrograms/SH_20180612162257_20180612163257.jpg,https://uwnetid-my.sharepoint.com/:f:/r/personal/abadi_uw_edu/Documents/Ocean%20Data%20Lab%20SharePoint/OOI/Ship%20Noise%20Data%20Set/Data with avg_time=10/Benchmark_Data//Ships/Southern_Hydrate/Audio/SH_20180612162257_20180612163257.wav,https://uwnetid-my.sharepoint.com/:f:/r/personal/abadi_uw_edu/Documents/Ocean%20Data%20Lab%20SharePoint/OOI/Ship%20Noise%20Data%20Set/Data with avg_time=10/Benchmark_Data//Ships/Southern_Hydrate/Mseed/SH_20180612162257_20180612163257.mseed,https://uwnetid-my.sharepoint.com/:f:/r/personal/abadi_uw_edu/Documents/Ocean%20Data%20Lab%20SharePoint/OOI/Ship%20Noise%20Data%20Set/Data with avg_time=10/Benchmark_Data//Ships/Southern_Hydrate/PSDs/SH_20180612162257_20180612163257.jpg,https://uwnetid-my.sharepoint.com/:f:/r/personal/abadi_uw_edu/Documents/Ocean%20Data%20Lab%20SharePoint/OOI/Ship%20Noise%20Data%20Set/Data with avg_time=10/Benchmark_Data//Ships/Southern_Hydrate/PSD_pickles/SH_20180612162257_20180612163257.pkl
3,218820000,2017-12-27 09:44:17,2017-12-27 09:54:17,,,10.0,SH_20171227094417_20171227095417,15.7,16.7,16.2,183.29,1.06,4.5,2.7800000000000002,357.3,357.7,357.5,358.0,358.0,358.0,PASSERO,https://uwnetid-my.sharepoint.com/:f:/r/personal/abadi_uw_edu/Documents/Ocean%20Data%20Lab%20SharePoint/OOI/Ship%20Noise%20Data%20Set/Data with avg_time=10/Benchmark_Data//Ships/Southern_Hydrate/Spectrograms/SH_20171227094417_20171227095417.jpg,https://uwnetid-my.sharepoint.com/:f:/r/personal/abadi_uw_edu/Documents/Ocean%20Data%20Lab%20SharePoint/OOI/Ship%20Noise%20Data%20Set/Data with avg_time=10/Benchmark_Data//Ships/Southern_Hydrate/Audio/SH_20171227094417_20171227095417.wav,https://uwnetid-my.sharepoint.com/:f:/r/personal/abadi_uw_edu/Documents/Ocean%20Data%20Lab%20SharePoint/OOI/Ship%20Noise%20Data%20Set/Data with avg_time=10/Benchmark_Data//Ships/Southern_Hydrate/Mseed/SH_20171227094417_20171227095417.mseed,https://uwnetid-my.sharepoint.com/:f:/r/personal/abadi_uw_edu/Documents/Ocean%20Data%20Lab%20SharePoint/OOI/Ship%20Noise%20Data%20Set/Data with avg_time=10/Benchmark_Data//Ships/Southern_Hydrate/PSDs/SH_20171227094417_20171227095417.jpg,https://uwnetid-my.sharepoint.com/:f:/r/personal/abadi_uw_edu/Documents/Ocean%20Data%20Lab%20SharePoint/OOI/Ship%20Noise%20Data%20Set/Data with avg_time=10/Benchmark_Data//Ships/Southern_Hydrate/PSD_pickles/SH_20171227094417_20171227095417.pkl
4,218821000,2017-04-02 05:41:06,2017-04-02 05:51:06,,,10.0,SH_20170402054106_20170402055106,15.4,15.6,15.49,183.0,2.3,4.25,2.9469999999999996,176.8,180.6,178.70999999999998,178.0,179.0,178.6,PAGANINO,https://uwnetid-my.sharepoint.com/:f:/r/personal/abadi_uw_edu/Documents/Ocean%20Data%20Lab%20SharePoint/OOI/Ship%20Noise%20Data%20Set/Data with avg_time=10/Benchmark_Data//Ships/Southern_Hydrate/Spectrograms/SH_20170402054106_20170402055106.jpg,https://uwnetid-my.sharepoint.com/:f:/r/personal/abadi_uw_edu/Documents/Ocean%20Data%20Lab%20SharePoint/OOI/Ship%20Noise%20Data%20Set/Data with avg_time=10/Benchmark_Data//Ships/Southern_Hydrate/Audio/SH_20170402054106_20170402055106.wav,https://uwnetid-my.sharepoint.com/:f:/r/personal/abadi_uw_edu/Documents/Ocean%20Data%20Lab%20SharePoint/OOI/Ship%20Noise%20Data%20Set/Data with avg_time=10/Benchmark_Data//Ships/Southern_Hydrate/Mseed/SH_20170402054106_20170402055106.mseed,https://uwnetid-my.sharepoint.com/:f:/r/personal/abadi_uw_edu/Documents/Ocean%20Data%20Lab%20SharePoint/OOI/Ship%20Noise%20Data%20Set/Data with avg_time=10/Benchmark_Data//Ships/Southern_Hydrate/PSDs/SH_20170402054106_20170402055106.jpg,https://uwnetid-my.sharepoint.com/:f:/r/personal/abadi_uw_edu/Documents/Ocean%20Data%20Lab%20SharePoint/OOI/Ship%20Noise%20Data%20Set/Data with avg_time=10/Benchmark_Data//Ships/Southern_Hydrate/PSD_pickles/SH_20170402054106_20170402055106.pkl
5,228354600,2017-09-09 02:00:23,2017-09-09 02:10:23,,,10.0,SH_20170909020023_20170909021023,22.3,22.5,22.425,349.0,0.1,4.34,1.78625,178.0,182.0,179.25,178.0,182.0,179.125,CMA CGM RIGOLETTO,https://uwnetid-my.sharepoint.com/:f:/r/personal/abadi_uw_edu/Documents/Ocean%20Data%20Lab%20SharePoint/OOI/Ship%20Noise%20Data%20Set/Data with avg_time=10/Benchmark_Data//Ships/Southern_Hydrate/Spectrograms/SH_20170909020023_20170909021023.jpg,https://uwnetid-my.sharepoint.com/:f:/r/personal/abadi_uw_edu/Documents/Ocean%20Data%20Lab%20SharePoint/OOI/Ship%20Noise%20Data%20Set/Data with avg_time=10/Benchmark_Data//Ships/Southern_Hydrate/Audio/SH_20170909020023_20170909021023.wav,https://uwnetid-my.sharepoint.com/:f:/r/personal/abadi_uw_edu/Documents/Ocean%20Data%20Lab%20SharePoint/OOI/Ship%20Noise%20Data%20Set/Data with avg_time=10/Benchmark_Data//Ships/Southern_Hydrate/Mseed/SH_20170909020023_20170909021023.mseed,https://uwnetid-my.sharepoint.com/:f:/r/personal/abadi_uw_edu/Documents/Ocean%20Data%20Lab%20SharePoint/OOI/Ship%20Noise%20Data%20Set/Data with avg_time=10/Benchmark_Data//Ships/Southern_Hydrate/PSDs/SH_20170909020023_20170909021023.jpg,https://uwnetid-my.sharepoint.com/:f:/r/personal/abadi_uw_edu/Documents/Ocean%20Data%20Lab%20SharePoint/OOI/Ship%20Noise%20Data%20Set/Data with avg_time=10/Benchmark_Data//Ships/Southern_Hydrate/PSD_pickles/SH_20170909020023_20170909021023.pkl
6,229710000,2017-03-12 10:03:17,2017-03-12 10:13:17,"Cargo, all ships of this type",Cargo,10.0,SH_20170312100317_20170312101317,15.7,15.7,15.7,199.97,3.91,3.91,3.91,357.1,357.1,357.1,355.0,355.0,355.0,THALATTA,https://uwnetid-my.sharepoint.com/:f:/r/personal/abadi_uw_edu/Documents/Ocean%20Data%20Lab%20SharePoint/OOI/Ship%20Noise%20Data%20Set/Data with avg_time=10/Benchmark_Data//Ships/Southern_Hydrate/Spectrograms/SH_20170312100317_20170312101317.jpg,https://uwnetid-my.sharepoint.com/:f:/r/personal/abadi_uw_edu/Documents/Ocean%20Data%20Lab%20SharePoint/OOI/Ship%20Noise%20Data%20Set/Data with avg_time=10/Benchmark_Data//Ships/Southern_Hydrate/Audio/SH_20170312100317_20170312101317.wav,https://uwnetid-my.sharepoint.com/:f:/r/personal/abadi_uw_edu/Documents/Ocean%20Data%20Lab%20SharePoint/OOI/Ship%20Noise%20Data%20Set/Data with avg_time=10/Benchmark_Data//Ships/Southern_Hydrate/Mseed/SH_20170312100317_20170312101317.mseed,https://uwnetid-my.sharepoint.com/:f:/r/personal/abadi_uw_edu/Documents/Ocean%20Data%20Lab%20SharePoint/OOI/Ship%20Noise%20Data%20Set/Data with avg_time=10/Benchmark_Data//Ships/Southern_Hydrate/PSDs/SH_20170312100317_20170312101317.jpg,https://uwnetid-my.sharepoint.com/:f:/r/personal/abadi_uw_edu/Documents/Ocean%20Data%20Lab%20SharePoint/OOI/Ship%20Noise%20Data%20Set/Data with avg_time=10/Benchmark_Data//Ships/Southern_Hydrate/PSD_pickles/SH_20170312100317_20170312101317.pkl
7,229719000,2019-03-16 10:16:23,2019-03-16 10:26:23,"Tanker, all ships of this type",Tanker,10.0,SH_20190316101623_20190316102623,11.0,11.2,11.075,242.0,4.11,4.84,4.33875,2.2,358.8,312.775,4.0,359.0,314.375,SEAMASTER IV,https://uwnetid-my.sharepoint.com/:f:/r/personal/abadi_uw_edu/Documents/Ocean%20Data%20Lab%20SharePoint/OOI/Ship%20Noise%20Data%20Set/Data with avg_time=10/Benchmark_Data//Ships/Southern_Hydrate/Spectrograms/SH_20190316101623_20190316102623.jpg,https://uwnetid-my.sharepoint.com/:f:/r/personal/abadi_uw_edu/Documents/Ocean%20Data%20Lab%20SharePoint/OOI/Ship%20Noise%20Data%20Set/Data with avg_time=10/Benchmark_Data//Ships/Southern_Hydrate/Audio/SH_20190316101623_20190316102623.wav,https://uwnetid-my.sharepoint.com/:f:/r/personal/abadi_uw_edu/Documents/Ocean%20Data%20Lab%20SharePoint/OOI/Ship%20Noise%20Data%20Set/Data with avg_time=10/Benchmark_Data//Ships/Southern_Hydrate/Mseed/SH_20190316101623_20190316102623.mseed,https://uwnetid-my.sharepoint.com/:f:/r/personal/abadi_uw_edu/Documents/Ocean%20Data%20Lab%20SharePoint/OOI/Ship%20Noise%20Data%20Set/Data with avg_time=10/Benchmark_Data//Ships/Southern_Hydrate/PSDs/SH_20190316101623_20190316102623.jpg,https://uwnetid-my.sharepoint.com/:f:/r/personal/abadi_uw_edu/Documents/Ocean%20Data%20Lab%20SharePoint/OOI/Ship%20Noise%20Data%20Set/Data with avg_time=10/Benchmark_Data//Ships/Southern_Hydrate/PSD_pickles/SH_20190316101623_20190316102623.pkl
8,229719000,2019-03-20 15:08:13,2019-03-20 15:18:13,"Tanker, all ships of this type",Tanker,10.0,SH_20190320150813_20190320151813,11.9,11.9,11.9,242.0,2.53,4.91,3.58,170.8,174.8,173.23333333333332,171.0,174.0,172.66666666666666,SEAMASTER IV,,,,,
9,229719000,2019-03-20 15:18:13,2019-03-20 15:28:13,"Tanker, all ships of this type",Tanker,10.0,SH_20190320151813_20190320152813,11.8,11.9,11.885714285714286,242.0,2.45,3.65,2.8414285714285716,173.8,176.6,175.1,174.0,175.0,174.28571428571428,SEAMASTER IV,,,,,
